ISO3,Country,Marrirate,Divrate,divtomarRatio
ALB, Albania,8.1,1.7,4.76
DZA, Algeria,10.1,1.6,6.31
ARM, Armenia,6,1,6
AUS, Australia,4.6,2,2.3
AUT, Austria,5.3,1.8,2.94
AZE, Azerbaijan,9.7,1.5,6.47
BHS, Bahamas,6.1,1,6.1
BLR, Belarus,9.2,4.1,2.24
BEL, Belgium,3.9,2.1,1.86
BMU, Bermuda,10.6,2.7,3.93
BIH, Bosnia and Herzegovina,4.8,0.6,8
BRA, Brazil,6.6,1.4,4.71
BGR, Bulgaria,4.1,1.5,2.73
CAN, Canada,4.4,2.1,2.1
CHL, Chile,3.3,0.7,4.71
CHN, China,7.2,3.2,2.25
COL, Colombia,2.3,0.7,3.29
CRI, Costa Rica,5.3,2.5,2.12
HRV, Croatia,4.9,1.5,3.27
CUB, Cuba,5.2,2.9,1.79
CYP, Cyprus,6.8,2.2,3.09
DNK, Denmark,5.6,2.6,2.15
DOM, Dominican Republic,4.4,1.8,2.44
ECU, Ecuador,5.6,1.1,5.09
EGY, Egypt,11,1.9,5.79
SLV, El Salvador,3.5,0.8,4.38
EST, Estonia,5,2.4,2.08
FIN, Finland,4.3,2.4,1.79
FRA, France,3.7,1.9,1.95
GEO, Georgia,6.9,1.3,5.31
DEU, Germany,4.9,1.9,2.58
GIB, Gibraltar,6.7,3.2,2.09
GRD, Grenada,5,1.1,4.55
GRC, Greece,4.7,1.8,2.61
GTM, Guatemala,3.8,1.2,3.17
HUN, Hungary,5.2,1.7,3.06
ISL, Iceland,4.9,1.8,2.72
IRN, Iran,11.2,1.6,7
IRL, Ireland,4.6,0.7,6.57
ISR, Israel,6.5,1.8,3.61
ITA, Italy,3.2,1.5,2.13
JAM, Jamaica,7.5,1.5,5
JPN, Japan,4.8,1.7,2.82
JOR, Jordan,6.7,1.8,3.72
KAZ, Kazakhstan,32.3,4.6,7.02
KWT, Kuwait,5.2,2.2,2.36
KGZ, Kyrgyzstan,9.7,1.6,6.06
LVA, Latvia,6.8,3.1,2.19
LBN, Lebanon,9.5,1.6,5.94
LBY, Libya,10.8,2.5,4.32
LIE, Liechtenstein,5,2.4,2.08
LTU, Lithuania,7,3.1,2.26
LUX, Luxembourg,3.1,2,1.55
MYS, Malaysia,6.4,1.6,4
MLT, Malta,5.8,0.7,8.29
MUS, Mauritius,8.2,1.4,5.86
MEX, Mexico,5.2,0.9,5.78
MDA, Moldova,7.3,3.1,2.35
MNG, Mongolia,3.4,1.1,3.09
MNE, Montenegro,5.3,1.4,3.79
NLD, Netherlands,3.7,1.8,2.06
NZL, New Zealand,4.8,2,2.4
NIC, Nicaragua,4.5,0.8,5.63
NOR, Norway,4.3,1.9,2.26
PAN, Panama,3.7,1,3.7
POL, Poland,5.1,1.7,3
PRT, Portugal,3.4,2,1.7
QAT, Qatar,3.3,1.1,3
ROU, Romania,7.4,1.6,4.63
RUS, Russia,5.3,3.9,1.36
LCA, Saint Lucia,2.8,0.7,4
VCT, Saint Vincent and the Grenadines,5.8,0.8,7.25
SMR, San Marino,6.1,2.5,2.44
SAU, Saudi Arabia,5.6,2.1,2.67
SRB, Serbia,5.2,1.4,3.71
SYC, Seychelles,17.4,1.9,9.16
SGP, Singapore,6.8,1.9,3.58
SVK, Slovakia,5.7,1.8,3.17
SVN, Slovenia,3.5,1.1,3.18
ZAF, South Africa,3.5,0.6,5.83
KOR, South Korea,4.7,2.2,2.14
ESP, Spain,3.5,2,1.75
SUR, Suriname,4.2,1.3,3.23
SWE, Sweden,5,2.5,2
CHE, Switzerland,4.8,2,2.4
SYR, Syria,10.6,1.3,8.15
TWN, Taiwan,5.7,2.3,2.48
TJK, Tajikistan,13.5,1.4,9.64
THA, Thailand,5.5,1.4,3.93
TON, Tonga,7.1,1.2,5.92
TTO, Trinidad and Tobago,6.3,2.2,2.86
TUR, Turkey,6.8,1.7,4
UKR, Ukraine,4.06,2.88,1.41
ARE, United Arab Emirates,2.8,0.7,4
GBR, United Kingdom,4.4,1.8,2.44
USA, United States,6.5,2.9,2.24
UZB, Uzbekistan,7.8,1.1,7.09
VEN, Venezuela,3.3,1.2,2.75
VNM, Vietnam,5.7,0.4,14.25